alignment	sequence	start	end	P	ZP	D	ZD
10926.pep.muscle	Pcr_R006448_PODCR	949	960	0.0342857142857	6.58714285714	-0.14	6.62857142857
10926.pep.muscle	Mga_R013436_MELGA	209	226	0.03	6.51571428571	-0.16	6.68
10926.pep.muscle	Mga_R013436_MELGA	234	245	0.03	6.54	0.38	6.655
10926.pep.muscle	Mga_R013436_MELGA	253	273	0.105454545455	6.62818181818	-0.306363636364	6.74545454545
10926.pep.muscle	Hal_R007186_HALAL	584	590	0.22	6.48	-0.6	6.75
6559.pep.muscle	Gst_R011249_GAVST	59	75	0.166666666667	6.50333333333	0.15	6.59333333333
6559.pep.muscle	Gst_R011249_GAVST	161	201	0.151578947368	6.60894736842	-0.125263157895	6.62842105263
6559.pep.muscle	Gst_R011249_GAVST	305	318	0.106	6.664	-0.782	6.686
6559.pep.muscle	Gst_R011249_GAVST	338	355	0.075	6.67833333333	-0.501666666667	6.69
6559.pep.muscle	Gst_R011249_GAVST	392	402	0.11	6.6	0.18	6.59
6559.pep.muscle	Mga_R015572_MELGA	441	457	0.0557142857143	6.66142857143	-0.515714285714	6.70142857143
6559.pep.muscle	Mga_R015572_MELGA	473	484	0.12	6.63	0.25	6.63
6559.pep.muscle	Mga_R015572_MELGA	497	503	0.0666666666667	6.65	-0.486666666667	6.63
6559.pep.muscle	Mga_R015572_MELGA	550	561	0.03	6.43	0.08	6.55
6559.pep.muscle	Mga_R015572_MELGA	574	586	0.26	6.615	0.165	6.615
6559.pep.muscle	Mga_R015572_MELGA	670	677	0.14	6.53	-1.0	6.55
